,date,currency,code,bid,ask
5155,2018-12-07,jen (Japonia),JPY,0.033023000000000004,0.033691000000000006
5156,2018-12-07,korona czeska,CZK,0.1641,0.1675
5157,2018-12-07,korona dunska,DKK,0.5684,0.5798
5158,2018-12-07,korona norweska,NOK,0.4391,0.4479
5159,2018-12-07,korona szwedzka,SEK,0.4133,0.4217
5160,2018-12-07,SDR (MFW),XDR,5.1713,5.2757
5161,2018-12-10,dolar amerykanski,USD,3.7252,3.8004
5162,2018-12-10,dolar australijski,AUD,2.6857,2.7399
5163,2018-12-10,dolar kanadyjski,CAD,2.7889,2.8453
5164,2018-12-10,euro,EUR,4.2489,4.3347
5165,2018-12-10,forint (Wegry),HUF,0.013145,0.013411
5166,2018-12-10,frank szwajcarski,CHF,3.7664,3.8424
5167,2018-12-10,funt szterling,GBP,4.7072,4.8022
5168,2018-12-10,jen (Japonia),JPY,0.032988,0.033654
5169,2018-12-10,korona czeska,CZK,0.1642,0.1676
5170,2018-12-10,korona dunska,DKK,0.5692,0.5806
5171,2018-12-10,korona norweska,NOK,0.4376,0.4464
5172,2018-12-10,korona szwedzka,SEK,0.4115,0.4199
5173,2018-12-10,SDR (MFW),XDR,5.1773,5.2819
5174,2018-12-11,dolar amerykanski,USD,3.7541,3.8299
5175,2018-12-11,dolar australijski,AUD,2.7076,2.7624
5176,2018-12-11,dolar kanadyjski,CAD,2.8018,2.8584
5177,2018-12-11,euro,EUR,4.2556,4.3416
5178,2018-12-11,forint (Wegry),HUF,0.013149,0.013415
5179,2018-12-11,frank szwajcarski,CHF,3.7903,3.8669
5180,2018-12-11,funt szterling,GBP,4.7189999999999985,4.8144
5181,2018-12-11,jen (Japonia),JPY,0.033142000000000005,0.033812
5182,2018-12-11,korona czeska,CZK,0.1645,0.1679
5183,2018-12-11,korona dunska,DKK,0.5701,0.5817
5184,2018-12-11,korona norweska,NOK,0.4389,0.4477
5185,2018-12-11,korona szwedzka,SEK,0.4135,0.4219
5186,2018-12-11,SDR (MFW),XDR,5.1606,5.2648
5187,2018-12-12,dolar amerykanski,USD,3.7472,3.823
5188,2018-12-12,dolar australijski,AUD,2.7068,2.7614
5189,2018-12-12,dolar kanadyjski,CAD,2.8080000000000003,2.8648
5190,2018-12-12,euro,EUR,4.2589,4.3449
5191,2018-12-12,forint (Wegry),HUF,0.013179,0.013445
5192,2018-12-12,frank szwajcarski,CHF,3.7734,3.8496
5193,2018-12-12,funt szterling,GBP,4.731,4.8266
5194,2018-12-12,jen (Japonia),JPY,0.033083,0.033751
5195,2018-12-12,korona czeska,CZK,0.1647,0.1681
5196,2018-12-12,korona dunska,DKK,0.5705,0.5821
5197,2018-12-12,korona norweska,NOK,0.4373,0.4461
5198,2018-12-12,korona szwedzka,SEK,0.4114,0.4198
5199,2018-12-12,SDR (MFW),XDR,5.1805,5.2851
5200,2018-12-13,dolar amerykanski,USD,3.7463,3.8219
5201,2018-12-13,dolar australijski,AUD,2.7063,2.7609
5202,2018-12-13,dolar kanadyjski,CAD,2.8016,2.8582
5203,2018-12-13,euro,EUR,4.2496,4.3354
5204,2018-12-13,forint (Wegry),HUF,0.013151,0.013416999999999998
5205,2018-12-13,frank szwajcarski,CHF,3.7702,3.8464
5206,2018-12-13,funt szterling,GBP,4.732,4.8276
5207,2018-12-13,jen (Japonia),JPY,0.032991,0.033657
5208,2018-12-13,korona czeska,CZK,0.1646,0.168
5209,2018-12-13,korona dunska,DKK,0.5692,0.5808
5210,2018-12-13,korona norweska,NOK,0.4363,0.4451
5211,2018-12-13,korona szwedzka,SEK,0.4128,0.4212
5212,2018-12-13,SDR (MFW),XDR,5.1734,5.278
5213,2018-12-14,dolar amerykanski,USD,3.7696,3.8458
5214,2018-12-14,dolar australijski,AUD,2.6993,2.7539
5215,2018-12-14,dolar kanadyjski,CAD,2.8159,2.8727
5216,2018-12-14,euro,EUR,4.2532,4.3392
5217,2018-12-14,forint (Wegry),HUF,0.013128,0.013394
5218,2018-12-14,frank szwajcarski,CHF,3.7784,3.8548
5219,2018-12-14,funt szterling,GBP,4.73,4.8256
5220,2018-12-14,jen (Japonia),JPY,0.033168,0.033838
5221,2018-12-14,korona czeska,CZK,0.1649,0.1683
